BMI;Gewicht;KH
30,917;94,9;175,2
37,246;104;167,1
25,435;67;162,3
22,392;60,3;164,1
51,047;137,8;164,3
37,047;92,6;158,1
40,404;110,4;165,3
37,548;85,5;150,9
40,15;102,4;159,7
44,729;124;166,5
28,974;71,6;157,2
28,456;70,5;157,4
31,065;88,2;168,5
41,507;111,5;163,9
35,01;90,3;160,6
24,972;67;163,8
33,724;89,6;163
26,889;67,38;158,3
34,828;86,724;157,8
23,458;63,786;164,9
21,15;58,21;165,9
27,062;68,071;158,6
33,04;87,569;162,8
44,88;115,611;160,5
33,942;96,713;168,8
26,704;69,305;161,1
34,676;109,252;177,5
51,733;135,6;161,9
29,712;72,4;156,1
26,951;64;154,1
43,111;106,4;157,1
28,975;75,2;161,1
27,587;72,4;162
22,863;55;155,1
28,007;81,8;170,9
40,79;105,6;160,9
30,597;60,4;140,5
40,401;108;163,5
31,725;87;165,6
37,898;106,2;167,4
31,562;81;160,2
26,709;71,4;163,5
41,045;110,8;164,3
27,666;60,6;148
34,225;87,398;159,8
17,285;25,6;121,7
26,318;81,8;176,3
42,049;114,2;164,8
26,384;77,6;171,5
44,515;134;173,5
42,721;128,6;173,5
47,536;124,6;161,9
35,907;99,9;166,8
30,321;78,4;160,8
30,713;81,4;162,8
29,183;73,5;158,7
38,24;108,7;168,6
40,599;100,2;157,1
28,705;79,1;166
26,172;66;158,8
19,983;55;165,9
29,971;85,5;168,9
33,673;83;157
21,452;62,8;171,1
28,191;79;167,4
51,989;119,8;151,8
33,057;72,8;148,4
15,687;32,8;144,6
29,635;79,9;164,2
23,851;67,8;168,6
33,924;112;181,7
39,558;87;148,3
38,342;103;163,9
35,251;87;157,1
29,515;83,6;168,3
30,747;83;164,3
41,636;109;161,8
29,832;83;166,8
40,831;113,6;166,8
26,387;72,8;166,1
26,753;58,6;148
21;59,2;167,9
34,278;81,4;154,1
30,923;90;170,6
23,998;74;175,6
26,764;50,6;137,5
26,001;63,6;156,4
14,101;17;109,8
51,342;155,8;174,2
37,751;103,4;165,5
30,332;85;167,4
29,906;89,3;172,8
47,363;116,3;156,7
29,088;75,4;161
22,914;65,6;169,2
39,659;102,8;161
33,407;94,4;168,1
31,325;78,2;158
25,216;65,2;160,8
36,899;103,4;167,4
23,077;65,6;168,6
26,927;72,6;164,2
16,934;41;155,6
42,66;116;164,9
24,297;58,6;155,3
48,408;124,7;160,5
32,933;74;149,9
34,39;83,8;156,1
40,724;117;169,5
31,191;94;173,6
39,61;118;172,6
39,093;105,4;164,2
35,128;101,4;169,9
23,634;59,6;158,8
26,663;71,8;164,1
28,417;78,4;166,1
41,49;104,1;158,4
22,111;63,6;169,6
25,673;71;166,3
20,938;52,6;158,5
33,266;92;166,3
17,913;45,4;159,2
30,464;70,2;151,8
30,144;79,6;162,5
44,593;119,5;163,7
40,744;111,6;165,5
29,118;90,4;176,2
38,041;106,6;167,4
29,792;77,8;161,6
32,334;71,4;148,6
32,509;76;152,9
29,216;80,8;166,3
28,834;85,5;172,2
32,564;91,8;167,9
37,384;88,2;153,6
34,221;94,3;166
29,791;75,6;159,3
28,489;78,6;166,1
29,954;79;162,4
27,874;62,8;150,1
25,7;69,8;164,8
17,578;45;160
39,508;114,58;170,3
46,588;128,998;166,4
33,074;82,462;157,9
41,526;108,04;161,3
48,416;160,021;181,8
22,677;45,468;141,6
30,303;82,6;165,1
51,859;136,1;162
22,902;60,4;162,4
32,36;86,4;163,4
22,204;58,2;161,9
43,734;115,2;162,3
26,227;64,4;156,7
27,97;70;158,2
27,506;73,8;163,8
34,146;88,4;160,9
27,731;76,6;166,2
27,446;62;150,3
34,396;85;157,2
28,088;87,6;176,6
43,283;108,6;158,4
22,637;53,2;153,3
20,595;45,6;148,8
20,498;46,8;151,1
36,15;96,4;163,3
35,995;94;161,6
25,372;55,2;147,5
26,003;55,2;145,7
32,773;90,2;165,9
40,167;100,4;158,1
24,405;65;163,2
45,585;135,8;172,6
29,784;87,6;171,5
23,824;64;163,9
33,858;90,4;163,4
39,432;117,2;172,4
22,692;54,8;155,4
34,981;94,2;164,1
44,285;144,6;180,7
35,952;81;150,1
49,827;144;170
42,586;115,8;164,9
53,083;150;168,1
27,854;72,2;161
36,295;107;171,7
40,397;107,2;162,9
26,118;61,3;153,2
24,998;62,8;158,5
20,917;59,6;168,8
24,922;64,2;160,5
29,686;82;166,2
39,023;99,9;160
26,805;70;161,6
24,77;61,6;157,7
34,995;81,6;152,7
32,408;90,6;167,2
47,605;134,2;167,9
31,297;85;164,8
24,336;61,6;159,1
30,88;85,4;166,3
23,834;68,8;169,9
16,023;38;154
19,79;52;162,1
32,275;73,2;150,6
28,782;59,6;143,9
26,818;65,6;156,4
33,551;82,7;157
38,918;114,2;171,3
16,192;23,2;119,7
19,63;38,2;139,5
29,84;76,2;159,8
27,075;72,2;163,3
26,017;81,6;177,1
42,717;112,8;162,5
48,972;117,2;154,7
30,7;71,677;152,8
16,7;32,825;140,2
18,928;51,907;165,6
38,822;102,262;162,3
41,532;111,84;164,1
16,47;23,128;118,5
35,193;93,391;162,9
30,635;73,982;155,4
40,649;108;163
36,112;101,8;167,9
38,007;94,4;157,6
25,895;59,2;151,2
22,967;60,2;161,9
37,036;98,4;163
35,223;100,6;169
29,578;81,8;166,3
23,501;61,6;161,9
21,969;55,4;158,8
41,907;120,4;169,5
22,239;52,4;153,5
55,083;149,6;164,8
45,085;122;164,5
28,012;69,4;157,4
20,091;50,6;158,7
36,433;101;166,5
32,004;76;154,1
25,988;74,4;169,2
23,784;59,6;158,3
22,042;38;131,3
46,716;125,8;164,1
38,766;122;177,4
22,014;62,8;168,9
24,874;65,2;161,9
39,637;98,2;157,4
26,595;70,4;162,7
38,084;108;168,4
26,489;51,4;139,3
19,335;41,383;146,3
26,057;78,8;173,9
24,308;68,2;167,5
24,907;70,8;168,6
35,845;94,42;162,3
31,657;95,844;174
25,502;53,25;144,5
23,561;64,456;165,4
35,281;98,748;167,3
28,697;79,077;166
15,275;27,223;133,5
31,836;77,079;155,6
25,493;69,237;164,8
24,017;66,18;166
26,807;76,745;169,2
27,427;80,2;171
22,029;57,6;161,7
37,033;75,2;142,5
17,914;52,2;170,7
20,175;56,266;167
16,466;25,4;124,2
21,927;43,1;140,2
25,072;65,8;162
20,725;57,8;167
13,108;25;138,1
13,796;20,4;121,6
28,554;68,6;155
27,325;62,8;151,6
26,525;64,8;156,3
44,8;123,6;166,1
39,728;98,8;157,7
32,103;85,4;163,1
30,741;84,2;165,5
48,777;118,4;155,8
45,461;117,4;160,7
17,697;46,099;161,4
22,799;63,051;166,3
18,603;48,4;161,3
19,565;54,501;166,9
21,889;62;168,3
20,163;51,554;159,9
22,149;58,2;162,1
19,096;49,5;161
22,261;62,082;167
21,054;55,8;162,8
26,546;65,6;157,2
20;51,2;160
23,514;67,556;169,5
29,124;77;162,6
22,045;54,2;156,8
18,634;46,4;157,8
26,985;83,4;175,8
24,28;70,5;170,4
26,152;71,372;165,2
36,771;107,019;170,6
19,654;57;170,3
49,075;139,5;168,6
23,329;67,5;170,1
24,956;69,1;166,4
19,788;45;150,8
24,381;69,8;169,2
20,109;48,5;155,3
24,903;64,472;160,9
31,433;86,2;165,6
28,128;71,2;159,1
39,734;102,1;160,3
45,628;117,1;160,2
23,091;60,3;161,6
24,76;69,8;167,9
31,234;81,465;161,5
29,14;69,648;154,6
28,575;70,345;156,9
18,505;53,859;170,6
25,748;68,578;163,2
56,877;146,7;160,6
20,478;51,9;159,2
49,081;145,2;172
17,992;49,4;165,7
21,476;61,7;169,5
23,063;63,4;165,8
40,626;110,336;164,8
20,281;52,7;161,2
21,124;58,7;166,7
25,832;80,2;176,2
26,572;63,1;154,1
30,084;83,5;166,6
18,998;49;160,6
18,934;52,3;166,2
17,691;45,8;160,9
19,162;51,1;163,3
27,077;71,5;162,5
43,87;106,9;156,1
27,789;72,3;161,3
25,556;71,7;167,5
29,834;78,2;161,9
24,872;70,7;168,6
32,769;91,5;167,1
33,742;89,1;162,5
23,29;63,1;164,6
24,248;69,5;169,3
30,412;88,2;170,3
30,401;78,9;161,1
20,176;62;175,3
24,523;62,7;159,9
31,577;84;163,1
26,379;67,7;160,2
25,434;65,6;160,6
34,779;96,3;166,4
31,986;85,4;163,4
24,193;68,2;167,9
23,964;70,4;171,4
17,263;46,6;164,3
29,342;85,8;171
29,715;72,5;156,2
24,933;78,2;177,1
30,082;77,3;160,3
26,969;65,8;156,2
22,843;49,9;147,8
59,348;152,5;160,3
21,152;55,101;161,4
32,162;85,034;162,6
46,375;139,277;173,3
33,309;85,911;160,6
22,635;67,12;172,2
24,146;64,706;163,7
33,337;91,863;166
24,783;67,145;164,6
24,917;66,528;163,4
27,405;72,1;162,2
35,532;104,996;171,9
21,061;51,781;156,8
17,532;45,5;161,1
22,747;53,806;153,8
20,883;69,402;182,3
24,409;54,7;149,7
36,943;87,5;153,9
52,821;133,2;158,8
25,622;71,2;166,7
28,337;74;161,6
21,679;60,1;166,5
19,745;50,8;160,4
21,967;59,3;164,3
20,855;62,2;172,7
34,085;99,9;171,2
26,185;66,7;159,6
22,639;54,6;155,3
26,63;68,6;160,5
25,989;73,7;168,4
16,778;46,4;166,3
21,048;47,8;150,7
22,836;52;150,9
25,697;69,2;164,1
20,842;56,743;165
31,41;90,242;169,5
21,114;60,588;169,4
24,998;65,2;161,5
23,192;63,6;165,6
23,196;60,2;161,1
19,912;54,341;165,2
22,313;58,341;161,7
19,986;56,946;168,8
21,332;61,577;169,9
22,423;63,137;167,8
24,293;69,3;168,9
24,689;71,1;169,7
18,291;52,303;169,1
23,124;63,797;166,1
19,685;45,6;152,2
39,706;119,8;173,7
21,399;60,9;168,7
21,723;58;163,4
21,025;59,2;167,8
22,376;58;161
25,749;66;160,1
21,17;56,8;163,8
29,771;89;172,9
22,77;68,7;173,7
25,02;58,8;153,3
34,877;99,849;169,2
18,287;51;167
27,232;63;152,1
24,586;62;158,8
21,67;61,6;168,6
19,074;61,8;180
27,567;66,4;155,2
23,647;61,6;161,4
22,58;61,4;164,9
23,18;65,5;168,1
33,498;86,4;160,6
30,002;73,2;156,2
20,006;47,2;153,6
22,509;62,4;166,5
21,56;65,2;173,9
19,771;52,4;162,8
21,16;58,8;166,7
21,46;64,6;173,5
26,508;60,6;151,2
28,391;66,2;152,7
23,491;56;154,4
20,472;44,6;147,6
17,621;28,6;127,4
15,935;22;117,5
26,907;75,4;167,4
36,547;105;169,5
37,678;104,2;166,3
21,904;65,859;173,4
20,722;69,017;182,5
29,43;88,795;173,7
22,151;56;159
21,129;62,8;172,4
22,078;66;172,9
36,198;105,6;170,8
20,409;59,4;170,6
21,511;64,008;172,5
31,633;82,2;161,2
20,032;55,4;166,3
20,257;51,6;159,6
24,391;58,6;155
23,781;57,8;155,9
26,081;66,6;159,8
20,551;54,2;162,4
28,97;69,6;155
25,898;67,8;161,8
20,525;58;168,1
23,512;64,4;165,5
26,022;77,7;172,8
20,672;60,8;171,5
23,952;66,4;166,5
23,258;64,4;166,4
21,857;58;162,9
23,806;68,8;170
24,981;66,372;163
23,165;62;163,6
23,35;60,6;161,1
25,756;77,8;173,8
22,311;49,4;148,8
27,078;70,8;161,7
23,411;64,2;165,6
21,39;53,6;158,3
23,304;66,4;168,8
20,647;57,1;166,3
26,337;65;157,1
22,17;64,6;170,7
26,222;67,547;160,5
26,781;61,55;151,6
31,176;99;178,2
20,696;51,6;157,9
23,954;62,4;161,4
26,864;68,6;159,8
23,387;59,2;159,1
23,915;64,4;164,1
27,739;79,6;169,4
23,852;69,5;170,7
22,79;64,4;168,1
22,185;72,2;180,4
20,795;65;176,8
24,826;68;165,5
25,774;72,484;167,7
23,917;63;162,3
32,257;76,8;154,3
24,747;67,7;165,4
28,105;72,4;160,5
21,09;47,2;149,6
33,518;89,6;163,5
18,393;56,2;174,8
30,78;78,6;159,8
23,034;60,6;162,2
23,802;58;156,1
21,505;52,2;155,8
34,265;77,2;150,1
19,226;31,5;128
23,432;45,6;139,5
20,515;46,9;151,2
24,34;69,6;169,1
23,969;56,035;152,9
22,513;57,922;160,4
31,629;88;166,8
20,15;53,8;163,4
31,049;80,283;160,8
26,868;64,8;155,3
24,705;60,2;156,1
29,803;76,2;159,9
33,058;90;165
24,036;68;168,2
30,085;77,5;160,5
20,41;45,8;149,8
26,373;71,8;165
20,16;50,2;157,8
27,922;80,6;169,9
25,688;67;161,5
27,102;68;158,4
25,01;51;142,8
26,643;72,8;165,3
20,805;59;168,4
32,942;85,6;161,2
24,623;67,2;165,2
25,969;53,7;143,8
31,045;83,6;164,1
23,184;74,2;178,9
21,543;57,8;163,8
23,72;56,4;154,2
28,744;70,4;156,5
22,698;63;166,6
22,071;51,8;153,2
36,081;83,8;152,4
27,427;74,4;164,7
20,859;53,8;160,6
32,426;67,8;144,6
23,354;64,2;165,8
29,564;80;164,5
17,96;34,6;138,8
16,319;22,8;118,2
19,02;42;148,6
21,589;51,2;154
21,521;57,6;163,6
17,494;33,8;139
21,283;59;166,5
18,694;49;161,9
35,893;92;160,1
31,914;85;163,2
21,174;53,8;159,4
23,45;65,4;167
23,752;68,4;169,7
23,567;73;176
19,93;57,8;170,3
22,691;57,8;159,6
23,815;64,6;164,7
22,754;62,4;165,6
31,269;87,205;167
27,095;76,2;167,7
16,918;32,453;138,5
16,604;26,361;126
22,223;59,189;163,2
21,516;53,17;157,2
21,416;62,915;171,4
21,954;51,526;153,2
28,911;70,448;156,1
21,598;59,3;165,7
31,453;84,7;164,1
31,913;87,2;165,3
43,054;131,1;174,5
29,632;71,1;154,9
27,868;79,5;168,9
62,446;155,3;157,7
32,087;75,9;153,8
22,002;50,7;151,8
24,515;64,1;161,7
28,429;73,6;160,9
35,215;85,7;156
24,351;57,9;154,2
45,746;110,9;155,7
20,829;59,7;169,3
16,872;25,9;123,9
40,23;121,1;173,5
20,396;47;151,8
38,679;113,1;171
23,733;60;159
21,668;52,8;156,1
27,463;65,3;154,2
19,616;46,4;153,8
51,695;146,252;168,2
33,917;85,1;158,4
21,311;53;157,7
23,14;58,5;159
25,318;65,3;160,6
26,542;69,4;161,7
23,954;54,4;150,7
21,624;49,5;151,3
35,73;108,8;174,5
26,514;71,4;164,1
37,428;114,1;174,6
29,757;94,6;178,3
14,708;24,4;128,8
28,62;67,7;153,8
28,672;93;180,1
33,792;96,4;168,9
30,546;78,1;159,9
27,079;72,3;163,4
28,39;75,8;163,4
25,07;67,1;163,6
32,597;84,6;161,1
32,422;83;160
55,32;134,8;156,1
27,876;68,8;157,1
21,186;29,8;118,6
19,742;51,3;161,2
22,499;55,6;157,2
19,305;42,4;148,2
26,937;77,3;169,4
29,235;70,6;155,4
12,605;18,7;121,8
28,771;74,3;160,7
15,698;21,6;117,3
22,569;38,2;130,1
29,609;67,6;151,1
29,419;66,9;150,8
29,024;73,1;158,7
33,386;79,9;154,7
48,78;132;164,5
27,917;68,2;156,3
22,867;50,7;148,9
40,235;114,1;168,4
24,306;67,3;166,4
20,534;58,3;168,5
23,609;69,6;171,7
36,476;92,1;158,9
26,382;68,3;160,9
50,778;119,8;153,6
26,564;68,6;160,7
13,994;23;128,2
14,455;18,1;111,9
23,067;66,9;170,3
21,585;52,8;156,4
39,105;102,5;161,9
19,022;54,2;168,8
21,756;52;154,6
22,146;49,1;148,9
25,369;67,9;163,6
27,912;62,3;149,4
20,87;52,1;158
37,617;96,3;160
40,742;89;147,8
20,272;45,855;150,4
28,898;84,6;171,1
42,677;117,6;166
20,55;59,6;170,3
37,553;92,8;157,2
27,09;75,1;166,5
25;64;160
26,721;73,1;165,4
37,532;98,5;162
37,029;97,3;162,1
35,594;86,4;155,8
21,653;46,6;146,7
25,701;78,8;175,1
30,525;82,5;164,4
25,552;50,8;141
48,292;125,8;161,4
19,49;53,9;166,3
41,151;102,6;157,9
36,437;92;158,9
20,029;50;158
17,111;42,5;157,6
25,693;66,6;161
23,813;58,1;156,2
36,946;102,3;166,4
43,608;119,3;165,4
18,065;43,4;155
40,221;101,3;158,7
39,302;95,4;155,8
37,516;93,3;157,7
22,322;65,5;171,3
34,319;86;158,3
38,846;106,4;165,5
;74,1;
30,812;84,7;165,8
22,994;55,6;155,5
38,921;110,9;168,8
22,623;72;178,4
20,643;36,9;133,7
45,333;133,8;171,8
40,948;114,2;167
22,846;60,7;163
35,716;89,5;158,3
21,695;60;166,3
18,25;27,7;123,2
32,089;91;168,4
19,447;41;145,2
34,45;90,3;161,9
37,805;102,8;164,9
29,335;82,4;167,6
34,308;108,7;178
33,509;87,4;161,5
44,033;100,4;151
29,474;69,9;154
47,885;123,2;160,4
30,522;80,3;162,2
35,888;102,5;169
28,957;61,895;146,2
31,689;79,008;157,9
23,822;62,442;161,9
24,386;66,633;165,3
28,578;73,616;160,5
30,631;86,556;168,1
26,728;67,4;158,8
43,474;121,1;166,9
43,099;120,2;167
29,311;74,1;159
32,727;84,2;160,4
39,664;105,9;163,4
27,034;72,8;164,1
42,582;111,2;161,6
28,596;84,5;171,9
34,089;81,9;155
20,602;53,8;161,6
24,94;72,5;170,5
22,985;58,4;159,4
26,868;69,3;160,6
29,5;71,7;155,9
36,526;99,2;164,8
22,064;59,2;163,8
25,252;62,8;157,7
35,007;96;165,6
25,879;57,3;148,8
28,97;76,5;162,5
21,272;58,9;166,4
29,432;81,2;166,1
37,86;108,9;169,6
29,849;68,6;151,6
25,219;62,4;157,3
26,672;61,3;151,6
40,026;101,7;159,4
30,75;70,3;151,2
27,391;68,9;158,6
30,07;79,6;162,7
22,604;69,7;175,6
29,889;76,9;160,4
37,675;97,9;161,2
28,48;76,6;164
23,403;51,4;148,2
30,516;79,1;161
20,125;34,8;131,5
21,582;47,4;148,2
43,516;102,4;153,4
38,58;108,5;167,7
47,924;123,3;160,4
24,902;69,2;166,7
21,616;48,7;150,1
29,233;83;168,5
26,169;61,1;152,8
24,908;57,7;152,2
47,288;118,2;158,1
28,249;88,6;177,1
37,818;97,3;160,4
28,278;75,5;163,4
33,593;93,8;167,1
27,777;89,2;179,2
30,923;77;157,8
39,823;104,9;162,3
19,084;32,5;130,5
36,2;94,3;161,4
34,006;104,5;175,3
28,398;67;153,6
34,303;77,8;150,6
35,02;88,2;158,7
27,601;67,6;156,5
24,305;63;161
28,866;88,3;174,9
28,196;70,3;157,9
25,133;64,1;159,7
17,578;36,5;144,1
31,131;81,7;162
26,678;78,1;171,1
37,366;87,7;153,2
16,862;38,6;151,3
38,172;98,7;160,8
29,918;76,4;159,8
38,447;96,1;158,1
36,277;112,5;176,1
33,756;91,9;165
20,348;51,7;159,4
26,318;52,1;140,7
21,569;53,3;157,2
22,919;62,7;165,4
41,811;119,7;169,2
26,985;69,6;160,6
21,786;54,8;158,6
33,87;75,6;149,4
29,934;77,4;160,8
46,076;109,7;154,3
18,711;48,5;161
20,389;31,4;124,1
25,312;66,1;161,6
19,691;46,7;154
19,647;50,8;160,8
45,416;122,3;164,1
22,237;56,5;159,4
28,033;77,9;166,7
40,23;112,6;167,3
30,411;80,7;162,9
27,725;69,3;158,1
29,975;82,3;165,7
20,324;55,4;165,1
25,598;63,5;157,5
24,517;64,9;162,7
28,222;77,3;165,5
21,89;39,6;134,5
42,055;108,2;160,4
23,433;57,1;156,1
21,608;33,6;124,7
36,561;101,6;166,7
32,902;81,1;157
51,575;145,392;167,9
31,05;82,8;163,3
34,47;98,1;168,7
42,338;111,8;162,5
34,903;91,6;162
43,669;118,6;164,8
23,261;66,2;168,7
27,973;64,8;152,2
26,605;67,6;159,4
36,885;104,6;168,4
20,256;31,6;124,9
25,573;69,2;164,5
34,822;93,2;163,6
43,393;116;163,5
27,046;78,9;170,8
23,179;55,4;154,6
19,697;44,2;149,8
34,442;89,5;161,2
27,081;83,6;175,7
35,039;94,7;164,4
26,506;74,9;168,1
18,733;50,2;163,7
25,545;71,5;167,3
23,577;61,8;161,9
22,195;53,6;155,4
30,896;78,7;159,6
15,514;23,7;123,6
21,355;65,7;175,4
28,043;72,6;160,9
23,291;56,1;155,2
25,687;75,2;171,1
19,489;51,4;162,4
25,842;71,554;166,4
20,921;59,4;168,5
16,706;27,2;127,6
32,307;92,6;169,3
26,528;62,1;153
40,912;101,1;157,2
19,141;49;160
22,16;56,8;160,1
29,017;81,8;167,9
20,755;53;159,8
42,253;125;172
20,049;53,4;163,2
23,382;65,6;167,5
14,985;30,6;142,9
45,344;123;164,7
37,173;111,9;173,5
26,694;79,8;172,9
18,306;38,7;145,4
19,631;56,8;170,1
29,151;78,5;164,1
42,51;117;165,9
42,981;112,8;162
19,312;47,3;156,5
27,77;83,4;173,3
22,185;58,8;162,8
44,439;130,4;171,3
21,769;62,1;168,9
22,096;68,6;176,2
26,835;75,2;167,4
21,819;58,9;164,3
18,093;48,9;164,4
23,259;63,4;165,1
24,41;72,3;172,1
14,466;22,1;123,6
15,77;32,7;144
25,483;64,1;158,6
23,253;59,9;160,5
26,044;63,3;155,9
22,04;57,7;161,8
35,039;90,6;160,8
27,281;79,4;170,6
21,452;54,3;159,1
25,72;76,8;172,8
40,277;107,8;163,6
22,473;62,9;167,3
14,684;27;135,6
33,058;87,4;162,6
26,378;71,9;165,1
24,357;68,5;167,7
23,077;62,6;164,7
40,342;111,3;166,1
34,883;85;156,1
21,717;59,7;165,8
32,833;88,2;163,9
22,505;59,5;162,6
25,411;53,723;145,4
13,958;20,1;120
20,824;56,9;165,3
24,622;61;157,4
18,347;45,859;158,1
20,532;57,4;167,2
23,749;63,1;163
17,645;53,3;173,8
26,221;74,8;168,9
22,624;55,2;156,2
41,225;119;169,9
38,635;116,3;173,5
25,63;70,2;165,5
26,756;74,8;167,2
14,867;31,3;145,1
23,416;58,9;158,6
23,744;64,8;165,2
50,762;130,6;160,4
21,792;57,9;163
15,828;37,1;153,1
22,433;70,2;176,9
17,316;47,6;165,8
26,8;79,1;171,8
14,387;30,5;145,6
16,313;20,5;112,1
23,597;64,4;165,2
18,753;37,6;141,6
15,516;34,4;148,9
16,361;38,5;153,4
15,368;33,3;147,2
26,784;64,1;154,7
16,143;34,6;146,4
21,828;55,6;159,6
27,323;71;161,2
28,948;81,8;168,1
20,964;66,2;177,7
16,511;28,9;132,3
32,875;90,7;166,1
58,184;144,7;157,7
34,533;91,3;162,6
25,014;68,1;165
24,722;62,5;159
22,481;63,3;167,8
23,381;58;157,5
14,577;31,5;147
23,759;66,5;167,3
20,719;51,2;157,2
27,484;63,5;152
23,956;58;155,6
22,598;63,1;167,1
39,596;104,3;162,3
23,362;64,3;165,9
26,402;61,4;152,5
23,046;65,2;168,2
24,288;62,8;160,8
25,205;60,4;154,8
21,808;57,8;162,8
23,967;59;156,9
20,067;52,6;161,9
23,835;58,9;157,2
21,857;62,5;169,1
31,727;91,8;170,1
18,935;51,3;164,6
24,355;67,6;166,6
27,059;77,1;168,8
20,577;61,373;172,7
30,092;88,3;171,3
35,28;97,1;165,9
28,215;78,5;166,8
21,009;55;161,8
16,047;19,7;110,8
32,506;91,2;167,5
23,091;56,7;156,7
20,819;52,5;158,8
20,925;53,5;159,9
20,186;58,2;169,8
27,111;70,1;160,8
20,786;60;169,9
22,526;58,1;160,6
22,215;62,7;168
22,003;62,1;168
21,701;55;159,2
23,708;63,3;163,4
19,515;53;164,8
23,29;71;174,6
28,114;75,8;164,2
27,841;79,8;169,3
17,245;29,1;129,9
26,668;64,9;156
25,786;73,3;168,6
20,106;51,6;160,2
23,734;73,1;175,5
19,411;44,2;150,9
20,424;50,6;157,4
22,715;59,1;161,3
25,908;76,2;171,5
33,889;87,3;160,5
31,72;81;159,8
33,394;84;158,6
25,918;73,5;168,4
21,879;64,2;171,3
27,261;77,4;168,5
21,499;63,9;172,4
28,572;69;155,4
22,145;54,1;156,3
23,471;58;157,2
28,327;74,8;162,5
25,834;67,8;162
24,456;63;160,5
24,387;59,5;156,2
25,115;66,4;162,6
40,149;118,5;171,8
38,42;94,1;156,5
18,62;55,6;172,8
31,352;83,3;163
19,256;50,1;161,3
23,007;57,8;158,5
26,578;74,3;167,2
34,737;101,1;170,6
25,622;63,8;157,8
23,539;61,7;161,9
31,428;86,5;165,9
19,806;52,3;162,5
24,457;60,9;157,8
40,798;103,4;159,2
24,203;69,7;169,7
18,753;40,8;147,5
14,968;29,8;141,1
26,465;72,4;165,4
18,864;42,5;150,1
26,9;69,9;161,2
31,156;76,6;156,8
28,954;82,5;168,8
16,099;26,5;128,3
20,967;56,6;164,3
28,184;68,5;155,9
15,517;21,9;118,8
31,874;75,691;154,1
35,814;90,2;158,7
24,038;66,4;166,2
20,561;52,9;160,4
37,35;115,3;175,7
21,194;54,8;160,8
27,501;72,8;162,7
25,464;55,1;147,1
23,409;66,7;168,8
21,556;69,3;179,3
19,653;52,6;163,6
22,188;53,1;154,7
20,247;59,9;172
32,775;81,2;157,4
35,685;100;167,4
35,393;99,3;167,5
40,219;108,7;164,4
18,555;51,5;166,6
37,02;98,6;163,2
21,113;60,8;169,7
20,145;57,4;168,8
21,271;55;160,8
40,724;108,2;163
29,191;78,8;164,3
21,382;56,6;162,7
34,496;95,4;166,3
30,447;80,3;162,4
16,366;28;130,8
40,206;103,7;160,6
26,444;66,6;158,7
39,039;116,3;172,6
34,219;86,4;158,9
17,083;44,5;161,4
25,149;77,9;176
17,151;44,9;161,8
19,149;47,2;157
21,707;42;139,1
27,071;77,5;169,2
17,863;42,2;153,7
23,698;62,5;162,4
14,981;26,7;133,5
18,541;48,3;161,4
25,18;66,9;163
16,715;39,9;154,5
15,844;27,9;132,7
18,669;54,4;170,7
19,052;52,5;166
26,351;65,7;157,9
30,825;80,2;161,3
27,567;71,9;161,5
23,728;57,3;155,4
15,976;27;130
31,806;79,5;158,1
22,479;63,9;168,6
27,889;66,4;154,3
29,431;73,1;157,6
33,019;84;159,5
25,195;73,5;170,8
21,814;53,7;156,9
15,407;27,5;133,6
40,412;119;171,6
15,835;37,7;154,3
25,631;76,8;173,1
20,911;52,4;158,3
19,58;49,5;159
20,703;56,5;165,2
27,205;78,9;170,3
13,959;20;119,7
28,891;73,5;159,5
22,782;56,8;157,9
18,195;46;159
14,319;29,2;142,8
20,576;53,6;161,4
21,248;59,9;167,9
15,911;32,4;142,7
39,961;97;155,8
21,677;57,1;162,3
20,729;54;161,4
15,621;19,7;112,3
32,005;91,3;168,9
31,592;82,4;161,5
26,148;68,2;161,5
37,098;97;161,7
20,123;45,7;150,7
37,653;97,6;161
22,5;62,3;166,4
20,609;50,8;157
20,23;51,4;159,4
20,924;53,7;160,2
23,061;60;161,3
28,241;76,7;164,8
15,536;22;119
20,314;50,2;157,2
42,186;123,5;171,1
32,375;95;171,3
18,073;31,3;131,6
19,454;55,3;168,6
16,313;27,4;129,6
18,758;55,3;171,7
28,229;72,9;160,7
20,761;38,4;136
31,725;79,5;158,3
21,132;61;169,9
21,303;54,4;159,8
42,969;110;160
18,995;47,9;158,8
16,981;47,7;167,6
21,585;46,2;146,3
21,836;49;149,8
22,057;58,1;162,3
22,998;51,4;149,5
19,493;47,5;156,1
30,488;81,8;163,8
23,834;58,3;156,4
21,378;53,3;157,9
19,374;52,3;164,3
18,334;46,7;159,6
24,761;60,8;156,7
13,366;18,8;118,6
30,488;72,4;154,1
28,203;68,9;156,3
26,756;60,2;150
19,664;55,5;168
21,163;62,1;171,3
19,152;43,9;151,4
25,185;62;156,9
20,224;48,4;154,7
21,067;45,4;146,8
18,125;53;171
25,377;61,6;155,8
41,717;105,2;158,8
25,586;66,9;161,7
25,627;76,7;173
22,463;72,7;179,9
19,222;54,9;169
22,051;54,7;157,5
28,034;76,6;165,3
23,496;49,4;145
20,706;56,1;164,6
15,093;20,1;115,4
22,137;56,6;159,9
21,782;52,4;155,1
24,263;56,5;152,6
21,634;54,9;159,3
19,029;52,5;166,1
